Wind ID,Date/Time,Latitude,Longitude,Nearest town,State,Max Gust speed,Comments,,,
5646,23/02/2010 7:30,-30.9651,151.3511,WOOLBROOK,NSW,54,Storm spotter reported trees blown down by strong winds in a storm lasting 30 minutes starting about 6:30pm local time at Wllobrook on 23/2/10. Spotter claims to have estimated the strongest wind speed at 103 km/h. Rounded it to 100 km/h (54 knots). Thunderstorm with trees blown down and local flooding at Woolbrook on 23/2/10,,,
5647,26/02/2010 6:01,-30.8485,143.0846,WHITE CLIFFS,NSW,52,52 knot gust recorded at White Cliffs at 0601 UTC on 26/2/10. Thunderstorm with damaging wind gust at White Cliffs on 26/2/10.,,,
5648,26/02/2010 7:45,-30.8485,143.0846,WHITE CLIFFS,NSW,55,55 knot gust recorded at White Cliffs at 0745 UTC on 26/2/10. Second thunderstorm with damaging wind gust at White Cliffs on 26/2/10.,,,
5649,2/06/2010 22:45,-28.6317,153.6345,CAPE BYRON,NSW,48,"48 knot wind gust from supercell thunderstorm recorded at Cape Byron AWS at 2245 UTC on 2/6/10 (morning of 3/6/10 local time). Supercell thunderstorm and associated tornado developed near Lennox Head early on the morning of 3/6/10, storm tracked north to Byron bay then turned offshore.",,,
5884,28/02/2011 8:15,-31.9652,141.4513,BROKEN HILL,NSW,40,Erratic winds from WNW-SE NULL,,,
5885,28/02/2011 8:15,-31.9652,141.4513,BROKEN HILL,NSW,40,Erratic winds from WNW-SE NULL,,,
5887,10/09/2010 4:00,-34.5651,150.7846,ALBION PARK AERODROME,NSW,52,LG:Greater Wollongong NULL,,,
5888,27/09/2010 3:27,-30.9651,148.3679,COONAMBLE AIRPORT,NSW,52,NULL NULL,,,
5889,30/10/2010 8:13,-34.7485,146.5512,NARRANDERA,NSW,52,NULL NULL,,,
5895,10/11/2010 5:39,-31.7651,150.8345,MURRURUNDI,NSW,52,NULL NULL,,,
5904,3/12/2010 4:40,-35.6318,145.8013,Berrigan,NSW,0,Wind damage to trees.  Visually looks like severe crop damage. NULL,,,
5905,1/12/2010 2:30,-31.5317,146.7012,HERMIDALE,NSW,0,2nd hand report to Cobar observer of Silo knocked down in Hermidale (between Cobar and Nyngan) as well as hay bales on a truck ripped off. NULL,,,
5906,8/12/2010 7:34,-35.1318,147.4179,WAGGA WAGGA AERODROME,NSW,52,NULL NULL,,,
5907,9/12/2010 2:08,-33.3817,149.1346,ORANGE AIPORT,NSW,33,NULL NULL,,,
5923,13/12/2010 7:23,-28.8817,152.5678,TABULAM,NSW,0,"Spotter is former Bureau staff member. ""Trees about 40cm in diameter snapped with limbs down all over the place."" NULL",,,
5924,15/12/2010 9:52,-36.2517,150.2265,MONTAGUE ISLAND,NSW,49,4 minute wind averaging period. NULL,,,
5925,15/12/2010 10:00,-36.2517,150.2265,MONTAGUE ISLAND,NSW,54,10 minute wind averaging period. NULL,,,
5926,16/12/2010 10:57,-30.9484,150.2511,GUNNEDAH AERODROME,NSW,49,7 minute wind averaging period. NULL,,,
5927,5/01/2011 8:10,-35.4317,149.1512,TUGGERANONG,NSW,0,LGA: ACT Roof lost in Tuggeranong.  Tuggeranong AWS doesn't record any significant wind gusts.  Highest wind gust recorded 19 knots.  NULL,,,
5928,19/01/2011 7:20,-29.6484,152.8011,RAMORNIE,NSW,0,Roaring wind with debris being flung against the side of the house associated with small tornado(s) momentarily touching down.  Roof damage - now leaking. NULL,,,
5933,2/02/2011 5:51,-34.7484,149.7346,GOULBURN,NSW,50,NULL NULL,,,
5934,4/02/2011 6:53,-36.2517,150.2265,MONTAGUE ISLAND,NSW,52,Wind averaging period was less than 10 minutes. NULL,,,
5935,4/02/2011 6:55,-36.2517,150.2265,MONTAGUE ISLAND,NSW,55,Wind averaging period was less than 10 minutes. NULL,,,
5955,27/02/2011 5:25,-30.6415,152.9906,NAMBUCCA HEADS,NSW,0,"Spotter reports ""damaging wind"". NULL",,,
5956,1/03/2011 2:51,-32.0484,150.8678,SCONE,NSW,48,48kt gust.  Wind Averaging Period less than 10m. NULL,,,
5957,1/03/2011 4:01,-31.7651,150.8345,MURRURUNDI,NSW,51,NULL NULL,,,
5958,1/03/2011 4:22,-30.0317,148.1012,WALGETT AIRPORT,NSW,53,Walgett AWS.  Wind averaging period less than 10 minutes. NULL,,,
5959,1/03/2011 4:23,-30.0317,148.1012,WALGETT AIRPORT,NSW,57,Walgett AWS.  Wind averaging period less than 10 minutes. NULL,,,
5960,1/03/2011 4:50,-32.9184,151.7981,NOBBYS HEAD,NSW,49,LGA: Greater Newcastle NEWCASTLE NOBBYS SIGNAL STATION AWS.  Wind averaging period less than 10 minutes.  NULL,,,
5961,1/03/2011 4:50,-30.9484,150.2511,GUNNEDAH AERODROME,NSW,57,"Sev Wx logbook has 57kt gust recorded at Gunnedah, but AWS only shows 46kt gust.  Couldn't find 57kt in 3pm Synops either.  So treat this obs with caution. NULL",,,
5962,1/03/2011 4:55,-32.9184,151.7981,NOBBYS HEAD,NSW,52,LGA: Greater Newcastle NEWCASTLE NOBBYS SIGNAL STN AWS.  Wind averaging period less than 10 minutes.  NULL,,,
5963,1/03/2011 8:25,-30.3151,153.1178,COFFS HARBOUR AIRPORT,NSW,53,Coffs Harbour AWS.  Wind averaging period less than 10 minutes. NULL,,,
5964,1/03/2011 4:50,-32.7317,151.8511,MEDOWIE,NSW,0,LGA: Greater Newcastle Storm spotter reports considerable damage in Medowie.  Calls on the 2nd to report for the 1st of March.  One house with significant roof damage and two others with minor damage to house.  Lots of trees down with branches 0.6m in diameter.  Can see evidence of storm track from Raymond Terrace to Medowie to Nelson Bay.  NULL,,,
5966,30/03/2011 2:59,-34.0484,150.6846,CAMDEN,NSW,48,LGA: Metropolitan  Camden AWS.  Wind averaging period less than 10 minutes.  NULL,,,
5971,30/03/2011 4:15,-32.2067,148.5762,DUBBO AIRPORT,NSW,53,Dubbo AWS.  Wind Averaging Period less than 10 minutes. NULL,,,
6113,14/11/2011 0:00,0,0,,NSW,0,24-07-1862. A perfect hurricane occurred soon after 6pm and lasted for more than half an hour. The wind came from the west and southwest. Several houses were stripped of a good many of their shingles. A man on one of the ships in the Bay was swept over board and drowned. The wind caused a great deal of damage to storekeepers. 24-07-1862. A perfect hurricane occurred soon after 6pm and lasted for more than half an hour. The wind came from the west and southwest. Several houses were stripped of a good many of their shingles. A man on one of the ships in the Bay was swept over board and drowned. The wind caused a great deal of damage to storekeepers.,,,
6520,28/09/2011 9:46,-31.0818,141.718,FOWLERS GAP,NSW,52,NULL NULL,,,
6521,1/10/2011 5:41,-28.8484,153.0511,CASINO,NSW,46,Report close enough to the 47 knots threshold. NULL,,,
6522,14/10/2011 11:45,-31.0818,141.718,FOWLERS GAP,NSW,50,NULL NULL,,,
